"Maker","BeanOrigin","REF","ReviewDate","CocoaPercentage","CompanyLocation","Rating","RatingLevel"
"A. Morin","Agua Grande",1876,2016,63,"France",3.75,"High"
"A. Morin","Kpime",1676,2015,70,"France",2.75,"Low"
"A. Morin","Atsane",1676,2015,70,"France",3,"Low"
"A. Morin","Akata",1680,2015,70,"France",3.5,"Low"
"A. Morin","Quilla",1704,2015,70,"France",3.5,"Low"
"A. Morin","Carenero",1315,2014,70,"France",2.75,"Low"
"A. Morin","Cuba",1315,2014,70,"France",3.5,"Low"
"A. Morin","Sur del Lago",1315,2014,70,"France",3.5,"Low"
"A. Morin","Puerto Cabello",1319,2014,70,"France",3.75,"High"
"A. Morin","Pablino",1319,2014,70,"France",4,"High"
"A. Morin","Panama",1011,2013,70,"France",2.75,"Low"
"A. Morin","Madagascar",1011,2013,70,"France",3,"Low"
"A. Morin","Brazil",1011,2013,70,"France",3.25,"Low"
"A. Morin","Equateur",1011,2013,70,"France",3.75,"High"
"A. Morin","Colombie",1015,2013,70,"France",2.75,"Low"
"A. Morin","Birmanie",1015,2013,70,"France",3,"Low"
"A. Morin","Papua New Guinea",1015,2013,70,"France",3.25,"Low"
"A. Morin","Chuao",1015,2013,70,"France",4,"High"
"A. Morin","Piura",1019,2013,70,"France",3.25,"Low"
"A. Morin","Chanchamayo Province",1019,2013,70,"France",3.5,"Low"
"A. Morin","Chanchamayo Province",1019,2013,63,"France",4,"High"
"A. Morin","Bolivia",797,2012,70,"France",3.5,"Low"
"A. Morin","Peru",797,2012,63,"France",3.75,"High"
"Acalli","Chulucanas, El Platanal",1462,2015,70,"U.S.A.",3.75,"High"
"Acalli","Tumbes, Norandino",1470,2015,70,"U.S.A.",3.75,"High"
"Adi","Vanua Levu",705,2011,60,"Fiji",2.75,"Low"
"Adi","Vanua Levu, Toto-A",705,2011,80,"Fiji",3.25,"Low"
"Adi","Vanua Levu",705,2011,88,"Fiji",3.5,"Low"
"Adi","Vanua Levu, Ami-Ami-CA",705,2011,72,"Fiji",3.5,"Low"
"Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,55,"Ecuador",2.75,"Low"
"Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,70,"Ecuador",3,"Low"
"Ah Cacao","Tabasco",316,2009,70,"Mexico",3,"Low"
"Akesson's (Pralus)","Bali (west), Sukrama Family, Melaya area",636,2011,75,"Switzerland",3.75,"High"
"Akesson's (Pralus)","Madagascar, Ambolikapiky P.",502,2010,75,"Switzerland",2.75,"Low"
"Akesson's (Pralus)","Monte Alegre, D. Badero",508,2010,75,"Switzerland",2.75,"Low"
"Alain Ducasse","Trinite",1215,2014,65,"France",2.75,"Low"
"Alain Ducasse","Vietnam",1215,2014,75,"France",2.75,"Low"
"Alain Ducasse","Madagascar",1215,2014,75,"France",3,"Low"
"Alain Ducasse","Chuao",1061,2013,75,"France",2.5,"Low"
"Alain Ducasse","Piura, Perou",1173,2013,75,"France",2.5,"Low"
"Alexandre","Winak Coop, Napo",1944,2017,70,"Netherlands",3.5,"Low"
"Alexandre","La Dalia, Matagalpa",1944,2017,70,"Netherlands",3.5,"Low"
"Alexandre","Tien Giang",1944,2017,70,"Netherlands",3.5,"Low"
"Alexandre","Makwale Village, Kyela",1944,2017,70,"Netherlands",3.5,"Low"
"Altus aka Cao Artisan","Momotombo",1728,2016,60,"U.S.A.",2.75,"Low"
"Altus aka Cao Artisan","Acopagro",1728,2016,60,"U.S.A.",3,"Low"
"Altus aka Cao Artisan","CIAAB Coop",1732,2016,60,"U.S.A.",2.5,"Low"
"Altus aka Cao Artisan","Villa Andina",1732,2016,60,"U.S.A.",2.5,"Low"
"Altus aka Cao Artisan","Gruppo Salinas",1732,2016,60,"U.S.A.",2.75,"Low"
"Altus aka Cao Artisan","Sur del Lago",1125,2013,60,"U.S.A.",2.5,"Low"
"Altus aka Cao Artisan","Conacado",1125,2013,60,"U.S.A.",3,"Low"
"Altus aka Cao Artisan","Bolivia",1129,2013,80,"U.S.A.",3.25,"Low"
"Altus aka Cao Artisan","Bolivia",1133,2013,60,"U.S.A.",3,"Low"
"Altus aka Cao Artisan","Peru",1133,2013,60,"U.S.A.",3.25,"Low"
"Amano","Morobe",725,2011,70,"U.S.A.",4,"High"
"Amano","Dos Rios",470,2010,70,"U.S.A.",3.75,"High"
"Amano","Guayas",470,2010,70,"U.S.A.",4,"High"
"Amano","Chuao",544,2010,70,"U.S.A.",3,"Low"
"Amano","Montanya",363,2009,70,"U.S.A.",3,"Low"
"Amano","Bali, Jembrana",304,2008,70,"U.S.A.",2.75,"Low"
"Amano","Madagascar",129,2007,70,"U.S.A.",3.5,"Low"
"Amano","Cuyagua",147,2007,70,"U.S.A.",3,"Low"
"Amano","Ocumare",175,2007,70,"U.S.A.",3.75,"High"
"Amatller (Simon Coll)","Ghana",322,2009,70,"Spain",3,"Low"
"Amatller (Simon Coll)","Ecuador",327,2009,70,"Spain",2.75,"Low"
"Amatller (Simon Coll)","Ecuador",464,2009,85,"Spain",2.75,"Low"
"Amatller (Simon Coll)","Ghana",464,2009,85,"Spain",3,"Low"
"Amazona","LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72,"Peru",3.25,"Low"
"Amazona","Bellavista Gran Pajeten, San Martin",1145,2013,73,"Peru",3.5,"Low"
"Ambrosia","Belize",1494,2015,64,"Canada",3,"Low"
"Ambrosia","Madagascar",1494,2015,66,"Canada",3.25,"Low"
"Ambrosia","Dominican Republic",1498,2015,75,"Canada",3.25,"Low"
"Ambrosia","Papua New Guinea",1498,2015,63,"Canada",3.25,"Low"
"Ambrosia","Venezuela",1498,2015,70,"Canada",3.25,"Low"
"Ambrosia","Peru",1498,2015,68,"Canada",3.5,"Low"
"Amedei","Piura, Blanco de Criollo",979,2012,70,"Italy",3.75,"High"
"Amedei","Porcelana",111,2007,70,"Italy",4,"High"
"Amedei","Nine",111,2007,75,"Italy",4,"High"
"Amedei","Chuao",111,2007,70,"Italy",5,"High"
"Amedei","Ecuador",123,2007,70,"Italy",3,"Low"
"Amedei","Jamaica",123,2007,70,"Italy",3,"Low"
"Amedei","Grenada",123,2007,70,"Italy",3.5,"Low"
"Amedei","Venezuela",123,2007,70,"Italy",3.75,"High"
"Amedei","Madagascar",123,2007,70,"Italy",4,"High"
"Amedei","Trinidad",129,2007,70,"Italy",3.5,"Low"
"Amedei","Toscano Black",170,2007,63,"Italy",3.5,"Low"
"Amedei","Toscano Black",40,2006,70,"Italy",5,"High"
"Amedei","Toscano Black",75,2006,66,"Italy",4,"High"
"AMMA","Catongo",1065,2013,75,"Brazil",3.25,"Low"
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,85,"Brazil",2.75,"Low"
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,50,"Brazil",3.75,"High"
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,75,"Brazil",3.75,"High"
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,60,"Brazil",4,"High"
"Anahata","Elvesia",1259,2014,75,"U.S.A.",3,"Low"
"Animas","Alto Beni",1852,2016,75,"U.S.A.",3.5,"Low"
"Ara","Madagascar",1375,2014,75,"France",3,"Low"
"Ara","Chiapas",1379,2014,72,"France",2.5,"Low"
"Ara","Equateur",1379,2014,75,"France",2.75,"Low"
"Ara","Trincheras",1379,2014,75,"France",3,"Low"
"Arete","San Juan",1724,2016,70,"U.S.A.",3.5,"Low"
"Arete","Kokoa Kamili",1724,2016,70,"U.S.A.",3.75,"High"
"Arete","Tien Giang",1900,2016,73,"U.S.A.",3.5,"Low"
"Arete","Hacienda Victoria",1904,2016,70,"U.S.A.",3.25,"Low"
"Arete","Costa Esmeraldas",1904,2016,70,"U.S.A.",3.25,"Low"
"Arete","Lachua",1904,2016,70,"U.S.A.",3.5,"Low"
"Arete","Rugoso",1904,2016,70,"U.S.A.",3.75,"High"
"Arete","La Masica, FHIA",1908,2016,70,"U.S.A.",3.5,"Low"
"Arete","Coto Brus, Terciopelo",1908,2016,70,"U.S.A.",4,"High"
"Arete","Phantom",1924,2016,70,"U.S.A.",4,"High"
"Arete","Elvesia",1928,2016,70,"U.S.A.",3.75,"High"
"Arete","Matasawalevu",1928,2016,70,"U.S.A.",3.25,"Low"
"Arete","Lam Dong",1928,2016,73,"U.S.A.",3.25,"Low"
"Arete","Fazenda Camboa",1534,2015,70,"U.S.A.",3.5,"Low"
